,Content,Lang,Leng,Portal,Channel
0," Biskupi w Polsce przyznają sobie prawo do moralizowania, do wyższości, do dyktowania prawa o tym, jak mamy żyć. Wtrącają się w kwestie prawa do aborcji. Krytykują związki partnerstw, małżeństwa jednopłciowe. Pierwsi do ziania nienawiścią w stosunku do kobiet, osób nieheteronormatywnych. Pierwsi wzmożeni i cały czas aktywni. A wiecie, w czym w ogóle nie są aktywni? Gdzie jest cichosza? Cichosza jest, jeżeli chodzi o ściganie pedofilów w kościele i jeżeli chodzi o ściganie tych, którzy tych pedofilów kryli. Pojawił się taki raport, który mówi, że połowa spraw, która jest dzisiaj prowadzona w Watykanie przeciwko hierarchom kościoła, którzy kryli pedofilów, to są sprawy przeciwko hierarchom z Polski. Tym naszym moralizatorom, tym naszym specom od naszego życia. Watykan też nie pomaga, bo nie chce ujawniać akt ze swoich śledztw w prokuraturze, nie chce dawać do nich dostępu, ale też i nasza prokuratura krajowa wcale się nie spieszy do ścigania zboczeńców w sutannach. Co jest potrzebne? Potrzebne jest świeckie państwo i niezależna prokuratura, która rozliczy i tych zboczeńców i gwałcicieli dzieci, i tych, którzy przez lata ich kryli.",pl,1146,tiktok,barbara_nowacka
1," Rocznie w Polsce na raka piersi umiera blisko 5 tysięcy kobiet. To tak jak Puck wstyd właśnie jest tam straciłby połowę mieszkańców. Jakby umarły wszystkie mieszkanki Puck. Rak piersi to najczęściej występujący nowocrój wśród kobiet w Polsce. A przecież profilaktyka, wczesne wykrywanie powodują, że jest po prostu chorobą, z którą można wygrać. Dlatego dzisiaj, 15 października, w światowy dzień walki z rakiem piersi apeluję do Was wszystkich dziewczyny, ale i chłopaki, bo mężczyźni też chorują raka piersi. Badajcie się. Rak piersi może się zdarzyć właściwie w każde wieki. I każdej z nas. Badajcie się, nie bójcie się i pamiętajcie, z chorobą można wygrać. Tylko po prostu trzeba zacząć działać.",pl,701,tiktok,barbara_nowacka
2, Faithfully R,cy,13,tiktok,barbara_nowacka
3," Trwa wojna w Ukrainie. Ukrainki, Ukraińcy bohatersko walczą o wolność. Wolność swoją, ale wolność też i nas wszystkich. Pokazują czym jest honor, odwaga i patriotyzm. My nie tylko apelujemy do państw i rządów świata o realną pomoc, ale też włączamy się w zrzutkę na Bayraktara. Chciałabym, żeby Polska kupiła Ukrainie Bayraktara. Jest zrzutka, w której zbieramy 22,5 miliona. Włączyło się już ponad 64 tys. osób. Dołącz do nas, zrzuccie na Bayraktara dla Ukrainy.",pl,464,tiktok,barbara_nowacka
4," o ministrze Czarnyku i jego dziwnych wydatkach. Jak wiecie, polska szkoła boryka się z licznymi problemami finansowymi, często brakuje na podstawowe remonty, na wyposażenie i sprzęt. Tymczasem minister Czarnek przeznaczył fundusz, który tak naprawdę rozdystrybuował wśród fundacji współpracujących albo z PiS-em, albo z politykami Zjednoczonej Prawicy, albo z Kościołem Rzymsko-Katolickim. I bardzo często, pomimo negatywnej oceny Komisji Konkursowej, Czarnek decydował po prostu spod palucha, że te pieniądze trafią do tej czy innej fundacji. I tak fundacja Wigry Pro dostała, słuchajcie, blisko milion złotych na w pełni wyposażoną mobilną scenę do organizacji wydarzeń kulturalnych na terenie Pokamedulskiego Zespołu Klasztornego. Co więcej, ta fundacja nawet nie dostarczyła kosztorysu. Ta fundacja dostała negatywną ocenę od oceniających ten konkurs, ale pan Czarnek zdecydował inaczej. Jeżeli zastanawiacie się, czemu w waszej szkole brakuje pieniędzy na remont szatni, brakuje pieniędzy na chociażby książki do biblioteki, to wiedzcie, że dla ministra Czarnka znacznie ważniejsze było sfinansowanie obrotowej sceny z wyposażeniem dla fundacji, która opiekuje się pokamedulskim zespołem klasztornym.",pl,1206,tiktok,barbara_nowacka
5,"["" Hotel room, tangle up with you I'm in heaven, tell you what I wanna do I'll take the lead Ooh yeah, I'm goin' down I can't explain, but I'll show it""]",en,153,tiktok,barbara_nowacka
6," widzieliście najnowszy Bałk od Kaczyńskiego. Tym razem ten ekspert od kobiet postanowi powiedzieć, co następuje. Uwaga, to jest tylko dla osób o mocnych nerwach. No i tu trzeba czasem powiedzieć też i trochę o twarcie pewnych rzeczy gorzkich. Jeżeli się na przykład utrzyma taki stan, że do 25 roku życia dziewczęta, młode kobiety, piją tyle samo, co ich rówieśnicy, to dzieci nie będzie. Bo pamiętajcie, że mężczyzna, żeby popaść w alkoholis, to musi pić nadmiernie przez 20 lat. Przeciętnie, bo to oczywiście jeden... jeden krócej, drugi dłużej, bo to zależy od cech osobniczych. Ale a kobieta tylko dwa. Więc radzę z tym uważać. Także młodym kobietom, bo to naprawdę bardzo. Ale to też na pewno nie służy temu, żeby na przykład decydować się na macierzeństwo. Ja nie jestem zwolennikiem bardzo wczesnego macierzeństwa, bo kobieta też musi dojrzeć do tego, żeby być dobrą matką. Ale jak do 25 roku, sobie daję w szyję. Kaczyński o kobietach nie wie nic. Nie wie o naszych planach, marzeniach, o życiu. To on zniszczył życie młodych Polek. Tym swoim pseudo-trybunałem, zideologizowaniem, tymi bredniami. Niech, że się on wreszcie od młodych kobiet odczepi. Od wszystkich kobiet.",pl,1180,tiktok,barbara_nowacka
7," ...Powtarzające się narodowego banku, z którego zechce podnieść rękę i napisać przyciski.",pl,90,tiktok,barbara_nowacka
8," Jutro zaczyna się dziś. Polska potrzebuje zmian i wszyscy musimy o nią zadbać. Bezpieczeństwo bliskich, mieszkania, w których da się żyć, dobrze płatna praca, walka ze zmianami klimatu, to są najważniejsze sprawy, którymi musimy się zająć. I to już. Zostawmy spory, odrzućmy stare podziały. Na naszych oczach zmienia się świat. Właśnie teraz nadchodzą nowe czasy i tylko nowe pokolenie może zbudować nową polską wspólnotę. Dołącz do nas. Już w sierpniu przyjedź do Olsztyna na Campus Polska Przyszłości. Zapraszam, Rafał Trzaskowski.",pl,534,tiktok,barbara_nowacka
9," ponad 2 tysiące prób samobójczych, na samym Pomorzu ponad 400. Odrzuciliście 700 milionów, które proponował senat na wsparcie psychiatrii dziecięcej. Uważa Pan, że macie wystarczająco dużo pieniędzy? Czy uważa Pan, że nie potrzeba szkoleń dla nauczycieli, gdzie w szkole bardzo często jest najłatwiej te kryzysy wyłapać? Pan mówi, niech więcej rozmawiają rodzice. A jak pomagacie tym rodzicom? Jak pomagacie dzieciom? Przecież to Wy nie chcieliście sponsorować telefonu zaufania dla dzieci, który działa dzięki zrzutce, a nie dzięki Waszym działaniom.",pl,552,tiktok,barbara_nowacka
